"","lambda","mean_inc","occurrences"
"1",0.0383936823465135,100.174059822451,496
"2",0.0384989181330896,85.9266656020696,478
"3",0.0386573824262281,80.6690583163212,507
"4",0.0388291804288131,89.8753712321097,482
"5",0.0389899441558134,72.1569425696896,437
"6",0.0389973044671772,78.5131221023317,457
"7",0.0390093771031085,141.02222995033,426
"8",0.0390184796660915,98.4798189939983,469
"9",0.0391981499473341,102.994962376095,470
"10",0.0392884426807625,111.348935555552,488
"11",0.0393097158452555,104.848589988879,488
"12",0.0394154009753214,97.2471997180994,498
"13",0.039425315868092,103.346642326476,518
"14",0.0394270447539209,97.9156191255951,473
"15",0.0394349038492409,116.137388887686,496
"16",0.039455228137728,98.4577910427774,498
"17",0.0394819734127727,66.7874740189344,480
"18",0.0395215055861971,63.7364128151213,490
"19",0.0395518250077029,107.907514290251,502
"20",0.0396631390965525,72.2446178409811,493
"21",0.0396653438560865,108.323343514238,503
"22",0.039669831771049,84.2699795281621,452
"23",0.0397010872122715,98.0432117904447,463
"24",0.0397047280505266,103.96407025013,479
"25",0.039706554432227,89.4218975214957,529
"26",0.0398260083360753,88.8437733640998,511
"27",0.0398831603837074,95.1047014861326,503
"28",0.0398992032999247,133.167602511864,540
"29",0.039908379180025,82.3328114555361,465
"30",0.039916028289963,119.432251255706,473
"31",0.0399266042361271,92.5569961576957,485
"32",0.0400205559206532,108.120567333194,523
"33",0.0400663392783542,87.5408283502771,464
"34",0.0400673443099611,368.00391980525,467
"35",0.0401011893731058,109.310543570743,469
"36",0.040169182741673,70.6772400885089,510
"37",0.040203175320671,88.1837527382856,541
"38",0.0402762561550894,101.086805169039,478
"39",0.0402946594839185,103.920544612558,529
"40",0.0402966940961308,98.4176360224901,500
"41",0.0402970694588866,95.0360363731077,524
"42",0.0403247119531872,78.8033875230096,505
"43",0.0403370433982179,108.809595785935,541
"44",0.0403415406735105,75.66439780751,499
"45",0.0403444533593323,128.619436382636,442
"46",0.0404196761424553,111.828713198364,474
"47",0.040425373899905,107.322344817831,484
"48",0.0404354115203499,119.674475946936,460
"49",0.0404530609174113,84.9294685176584,553
"50",0.0404692602552679,103.344299987959,501
"51",0.0404847748868528,97.5366887859922,526
"52",0.0404871289055778,99.5908325184118,448
"53",0.0404873719413779,81.632408694356,527
"54",0.0405197625524783,69.2074355290187,489
"55",0.0405255245178306,98.8879309456944,529
"56",0.0405407217228471,73.8851596454654,474
"57",0.0405494996038151,103.706934697084,545
"58",0.0405617411450078,95.0705457049831,485
"59",0.040566397703558,115.064555614763,511
"60",0.0405877668313583,110.24852873073,545
"61",0.040594215035377,107.35564583363,524
"62",0.040671728485543,56.0420856217151,496
"63",0.04068482488375,103.945214358255,503
"64",0.0407190227826587,86.1859395123599,518
"65",0.0407272757618719,123.432635833611,495
"66",0.0407402122623617,81.29337840462,501
"67",0.0407532318257328,80.2506602406082,497
"68",0.0407864626017564,126.585846874938,510
"69",0.0408083561468007,102.958106213213,503
"70",0.0408215732481377,102.301918925858,509
"71",0.0408240776906436,106.68326088609,483
"72",0.0408974990532333,104.760331500149,552
"73",0.0409292872800674,71.1047773720732,488
"74",0.0409332606298483,98.1555535973901,548
"75",0.0409361543268291,105.380409361281,504
"76",0.0410217733920196,108.420358670887,483
"77",0.0411797657947174,93.0151911964308,527
"78",0.0411985054755258,89.9639362577268,509
"79",0.0412733375066289,88.1962679212396,480
"80",0.0412818147211306,84.4954273454219,526
"81",0.0412916052229596,73.5293058491565,520
"82",0.0413391029326985,105.849928901272,528
"83",0.0413703921472857,106.232109930337,552
"84",0.0414062241832889,100.760515521776,485
"85",0.0414063979220376,87.1543782015097,573
"86",0.0414151594156444,100.60266536474,481
"87",0.0414364390685438,75.8433010041874,545
"88",0.0414373590984888,88.2808753028639,534
"89",0.0414633489425381,107.387314324562,529
"90",0.0414880122920508,114.040460993225,537
"91",0.0415006504300648,113.109259372081,563
"92",0.0416034720430499,80.2051160726708,527
"93",0.0416938022269577,94.6675490608901,514
"94",0.0417929894581221,104.088876554832,522
"95",0.0417963528171833,106.561489870692,553
"96",0.0421939083628706,95.8102866536354,485
"97",0.0422749485907564,93.3825004037308,528
"98",0.0423032133519922,92.4561970553117,506
"99",0.0423208482690695,60.8901600833801,501
"100",0.0426644639440035,72.7062053861657,548
