"","threshold","mean_inc","occurrences"
"1",8604.98766315873,80.4208011225393,508
"2",9106.59199294762,80.9691397288447,499
"3",9467.62606263896,80.1613231727769,506
"4",12977.4275870926,84.8348200184486,514
"5",13145.2791218714,81.8492002785015,513
"6",14786.1320362859,83.459122504256,505
"7",15410.8946660459,82.2966942090804,514
"8",16827.4341093331,85.3101665290846,515
"9",17033.035045725,85.2809204043256,503
"10",17083.7081198138,83.9969760916731,489
"11",17148.4183336468,85.8897470037123,516
"12",18786.6936908578,85.8235081739957,499
"13",19096.0306949343,84.8195626553573,507
"14",19221.0658082878,85.7641597179223,517
"15",19558.7380435805,88.216734454045,513
"16",20699.2493349392,86.2990260170011,476
"17",20836.1804885049,86.7387995987998,484
"18",21221.8395172391,84.9812526783061,505
"19",22405.9934366893,88.4683559998257,534
"20",23670.568896297,86.4370989975387,489
"21",24363.852740153,89.2374212231082,501
"22",25437.6499335723,88.2602535983247,543
"23",25601.7486927812,87.4502433930706,501
"24",26338.3851820767,89.0012778993024,524
"25",26351.9579401768,88.8566648385562,512
"26",26394.6827002478,89.2229147252084,514
"27",26689.2147456989,88.6681488636324,481
"28",26848.3244306335,89.3472869450031,518
"29",26900.2579345357,88.4482074196293,519
"30",27298.1825928072,90.8945082850659,512
"31",27497.253694998,89.1976872204285,494
"32",27595.4111929302,89.4694271794889,511
"33",28157.9703295261,89.8791424299198,503
"34",28401.5275014917,88.7689509721882,500
"35",29421.9129591396,90.1047854346473,520
"36",30124.7401565193,91.0711433397067,514
"37",31827.0947115259,91.501373230875,513
"38",32057.566540623,89.7074817849002,496
"39",32130.1456274905,89.2834147154151,499
"40",32135.1064538328,86.9030050570514,519
"41",32664.353053237,92.6225666737584,507
"42",34192.366309502,92.2862189152707,474
"43",35802.0593376006,90.5251514617497,532
"44",36228.5735915004,90.633242640482,469
"45",37060.1155991926,92.4955060910025,485
"46",38307.0350872787,91.9395301588148,533
"47",38748.9105064377,92.7317714105357,508
"48",40153.9162165311,91.3946057657232,500
"49",40718.7769992698,92.1446606919685,490
"50",40950.3340027973,91.7534457168659,490
"51",41117.2649619098,92.6753255814998,511
"52",41311.1705931605,92.0232624799736,496
"53",41361.0214654065,93.2271582468037,514
"54",41492.8180210645,93.7921835338832,520
"55",43284.5964442642,94.9995363856817,506
"56",44225.9564325946,93.0707238545553,499
"57",44551.8593208453,93.3330813803092,504
"58",44658.4913481476,94.0452546241353,495
"59",44748.8928392269,93.0635184195171,501
"60",44939.9717459911,93.9691021810866,528
"61",45041.1744255683,92.1481886578379,490
"62",45424.2059597048,91.9576732362294,479
"63",46548.5798075372,94.0410586075427,501
"64",46917.3488581132,96.879061991125,489
"65",47088.8286352086,95.2978664983238,498
"66",47455.2830775993,93.5980348071586,481
"67",47928.276229989,94.753377448794,520
"68",48272.161017132,92.8781126247833,516
"69",48814.2286341823,94.435489737079,496
"70",49427.8635615975,95.6147273873182,536
"71",49853.5461333638,94.3903610096374,489
"72",50229.0417588025,93.4873875565616,508
"73",51122.5090593224,91.5088775558136,494
"74",54098.6295875409,93.5195271029462,479
"75",56479.9639434212,92.7597249324501,508
"76",57096.2105154258,92.9044246421677,513
"77",57526.060476434,96.8067703660211,529
"78",59807.3414082908,94.416057272242,538
"79",61009.7041503358,94.1764487619163,516
"80",61460.1539237278,93.7920192775312,516
"81",61664.3627080298,95.5277827865944,515
"82",63169.773664311,97.4763934022194,513
"83",64122.4399322678,97.1359496423011,515
"84",65159.8836776083,97.0790921555509,515
"85",66299.8867757191,96.556120144701,506
"86",68882.048604525,98.2138411354245,505
"87",69186.4248980909,100.010818927434,526
"88",69809.6524575596,97.8412176388665,502
"89",75027.5366533766,96.411655076974,501
"90",76331.7649427484,95.7934752538857,488
"91",77135.2351546278,95.9597526025524,523
"92",79721.6495104847,97.6626811193967,497
"93",79950.509343598,97.2504088522226,484
"94",81230.7340500049,98.7526010061349,499
"95",81833.3491356768,96.53761499991,513
"96",88729.6243705728,95.7693023818714,515
"97",91781.173062199,98.4336408655982,504
"98",118303.136897919,100.751959914115,477
"99",120998.637705052,99.9874578029321,528
"100",123595.809377997,100.372645564368,502
