"","eta","mean_inc","occurrences"
"1",94.9228054423583,81.0674209754358,492
"2",98.2053354900956,82.1512070105031,499
"3",98.4291210269541,80.6301430186941,508
"4",98.5663594133088,83.7011694359955,517
"5",100.116170756793,84.0857271140214,500
"6",100.156125374963,84.0395484629543,523
"7",101.51142089427,87.3400254770819,491
"8",102.037155380087,86.7976695508449,480
"9",102.074410938089,84.7346128865067,520
"10",102.366649013194,87.1553120923532,525
"11",102.945831968597,87.0443572357294,509
"12",103.053917894917,86.4517612295017,472
"13",103.165161245326,85.878946912018,496
"14",103.309708055495,86.1700648173173,501
"15",103.555269142732,86.3661054713095,515
"16",103.583469675069,86.6865470660904,498
"17",103.796807271233,88.2884867455741,523
"18",104.076080151663,88.2623491735017,498
"19",104.123356896746,87.0483679760392,532
"20",104.18484469233,87.6655870486172,488
"21",104.351829054875,89.3260751249118,504
"22",104.426980266002,89.4988652812751,519
"23",104.505671433205,87.0541628137736,495
"24",104.580530484113,88.7558946433607,519
"25",104.595985822375,85.8251281361968,494
"26",104.883331616434,87.3141738912572,507
"27",104.921827231716,89.1780740834856,528
"28",105.142559605348,86.9931039777741,530
"29",105.243334705234,89.0706873576626,488
"30",105.648036208627,89.8604805989452,534
"31",105.99615830143,91.1367193114192,493
"32",106.527710114584,90.7264324710648,502
"33",106.827985979928,88.6390502283056,478
"34",106.877514484714,89.9441102664863,514
"35",106.878838910702,91.5830968995834,485
"36",107.150539546973,91.9081287391287,546
"37",107.667140758668,91.0051520690517,545
"38",107.783180828021,91.7816724004807,509
"39",108.111733199897,90.9548214945714,508
"40",108.135413251748,91.7895029253887,515
"41",108.311728239372,90.7759154881562,499
"42",108.397535728766,92.0414892867349,494
"43",108.419798553821,92.6191934683882,506
"44",108.647756623832,92.7337209704528,493
"45",108.927665353115,92.4053059000316,525
"46",109.360234382769,92.9231859348752,507
"47",109.870469698884,94.6719817492221,489
"48",110.102323606627,94.1583757768322,507
"49",110.342017338873,94.981366274396,502
"50",110.366801473181,93.8875332031429,490
"51",110.459637772108,95.8360208441154,495
"52",110.564583477844,94.6231046728311,509
"53",110.598927627991,93.9354164577776,509
"54",110.861922892407,96.0478478068317,453
"55",110.883621106568,94.4934956131498,503
"56",111.049060127453,94.9567613516434,511
"57",111.177090936245,94.0396878956095,533
"58",111.192714401737,94.598261377418,496
"59",111.293438431479,98.1677498324976,493
"60",111.436333801662,95.0131736516303,507
"61",111.640002360157,95.4687126922059,471
"62",111.81353206065,94.5168004761956,505
"63",111.944305254335,96.9004686541361,494
"64",112.021640747076,97.4075767933562,525
"65",112.238262442039,97.7457949141577,523
"66",112.248363963817,97.8110584659943,493
"67",112.404086228885,97.549419059306,495
"68",112.448429652157,98.782386642215,539
"69",113.514286328248,95.6493079640901,515
"70",113.535964163507,97.3613668491992,513
"71",113.598453289407,98.9301392211614,506
"72",113.642814448123,97.6228973299915,514
"73",113.852458812795,96.1424304515891,486
"74",114.193078759361,97.1023555490449,494
"75",114.260911381759,99.1649410682477,490
"76",114.422825000755,99.0139212900702,484
"77",114.446422123051,97.9848032819626,511
"78",114.665812226467,100.946240976873,516
"79",115.270038274482,99.4044265563939,502
"80",115.298023314465,98.8721945112035,511
"81",115.531164330558,97.712055154708,499
"82",115.906864928015,98.9081149654187,498
"83",116.595002126123,100.754465846144,484
"84",116.707891557421,100.012199150467,509
"85",117.239768038423,101.839745985034,524
"86",118.645767844548,103.184668707219,506
"87",119.127470378912,100.766975389832,515
"88",120.056165144414,104.084637702248,509
"89",120.273720856564,104.228132178244,509
"90",121.062841390299,104.214908090278,502
"91",122.595354870065,105.285515397488,512
"92",126.636508304046,111.592103225734,489
"93",126.873930571217,108.639677961205,505
"94",128.781094800272,113.571832347956,513
"95",132.4176672873,116.363457381108,503
"96",135.014196879981,115.321702698443,490
"97",138.542981019634,119.598685342793,520
"98",145.710978261201,116.775917582707,491
"99",151.935821242589,119.658199056803,492
"100",153.855435668321,117.657472810593,519
